customer_number,fruit_veg,dairy,confectionary,grocery_food,grocery_health_pets,bakery,newspapers_magazines,prepared_meals,soft_drinks,frozen,meat,tobacco,drinks,deli,world_foods,lottery,cashpoint,seasonal_gifting,discount_bakery,practical_items
445,67.24,79.1,142.23,163.7,42.93,0,65.2,70.97,0.72,81.61,49.11,0,837.26,0,0,0,0,11.97,35.5,0
9057,67.08,41.45,44.98,64.36,35.04,0,5.82,35.66,11.24,11.91,52.29,433.21,16.84,73.58,6.13,48,0,20.24,60.26,0
9339,127.83,99.22,63.12,103.09,507.59,0,15.35,184.63,43.04,118.99,121.91,709.73,258.55,4.49,0.99,16,0,0,14.94,0
11315,105.99,91.29,50.58,129.37,43.64,0,18.74,34.88,9.11,18,64.03,0,70.4,0,8.19,0,0,21.25,0,2.97
13412,137.4,15.52,102.82,109.67,13.01,0,0,234.63,0,103.23,0,0,215.8,0,0,0,0,0,0,0
206,221.81,46.39,58.47,79.96,27.05,0,2.56,66.65,128.21,64.9,159.84,0,11.99,157.4,5.58,0,0,10.52,0,0
11770,13.77,3.74,0,2.41,4.07,0,1.1,7.4,13.41,1.39,4.5,11.41,83.82,0,0,0,95,0,1.59,0
3570,168.71,76.56,113.23,213.84,270.95,0,25.73,39.15,59.27,73.18,150.61,0,9.35,48.98,29.9,3,40,8.96,0,2.45
2514,48,98.14,114.46,56.74,81.59,0,5.04,63.94,23.77,26.24,42.11,0,28.91,0,4.46,0,10,4.58,0,0
1654,55.08,59.25,42.82,26.37,26.22,0,6.1,69.29,33,33.25,15.26,0,6.8,8.09,3.27,3,0,0,0,0
4865,64.71,12.48,33.14,18.15,50.96,0,2.7,16.85,6.18,20.13,25.65,68.76,0,14.15,10.01,0,0,15.53,0,4.49
5261,30.58,21.08,10.22,3.14,14.31,0,2.98,30.06,13.79,9.93,34.47,52.72,16.23,0,1.49,0,0,1.49,0,0
11771,18.1,27.41,0,9.18,8.31,0,11.08,12.58,34.83,4.5,336.14,0,176.74,9.87,28.75,3,0,0,2.48,0
921,120.93,96.53,203.57,149.38,81.99,0,21.04,10.79,137.96,103.75,21.84,0,271.33,0,12.98,1,10,33.97,0,0
13975,99.33,82.24,29.51,46.34,82.67,0,0,52.12,0.88,35.44,113.18,0,0,0,10.83,0,0,0,0,1.27
10805,52.53,52.93,45.87,89.92,10.13,0,0.55,51.32,5.72,2.48,2.59,11.36,2.8,0,9.58,0,0,1.69,0,0
12159,17.1,18.72,5.01,5.77,18.85,0,0,6.69,23.32,11.94,27.25,0,280.53,0.38,1.1,0,0,0,0,0
8717,200.51,137.71,155.49,132.47,150.82,0,1.79,116.87,106.99,164.92,181.97,303,9.04,7.2,8.96,3.5,0,26.7,0,0
13367,31.33,93.83,32.04,32.24,143.96,0,0,2.43,5.08,13.27,11.5,0,0,0,0,0,0,0,0,0.84
12508,49.45,38.58,8.44,37.17,8.35,0,0,11.48,3.01,0,44.75,0,0,33.66,0.78,0,75.64,0,0,0
7729,94.69,106.06,181.71,203.46,321.36,0,8.54,87.62,25.74,72.36,45.73,0,32.9,25.41,20.34,0,0,27.71,0,0
15966,24.65,14.64,11.22,4.81,3.99,0,351.73,0.99,1.01,4.06,0,0,0,1.3,0.89,13,0,1.7,0,0
8464,152.36,244.7,256.07,246.11,165.32,0,0.85,152.88,99.99,267.46,163.94,216.69,304.09,6.98,15.02,0,0,16.29,0,3.4
11596,55.57,44.56,81.5,35.79,65.15,0,7.91,2.58,15.86,81.42,9.77,0,21.68,14.69,20.83,0,0,28.94,0,1.92
4880,132.78,78.76,212.13,54.22,33.8,0,6.7,104.62,13.74,58.35,19.12,267.23,0,0,17.97,0,231.05,4.38,0,0
7830,39.03,37.17,17.94,54.61,172.82,0,10.19,4.55,3.17,5.48,13.23,0,0,15.35,1.27,0,133,3.9,0,0
14995,26.54,78.56,34.63,40.61,7.96,0,30.11,113.32,0,68.09,5.23,0,57.02,11.09,23.26,6,0,2.89,0,7.22
7484,9.26,50.12,26.75,33.49,3.48,0,9.1,4.55,4.57,41.59,35.76,0,11.22,34.2,3.96,0,0,0,0,1.52
14613,9.2,8.09,6.38,2.44,7.9,0,1.4,0,2.62,2.55,2.69,213.83,0,1.11,6.5,11,0,0,0,0
1045,11.78,7.28,30.6,26.85,11.36,0,0.35,25.77,10.07,13.68,17.59,0,0,0,0.99,0,0,0.84,0,0
5630,28.86,20.02,26.91,18.59,13.75,0,4.01,16.49,4.32,36.48,42.25,82.93,151.55,0,0,0,0,0,0,0
2503,112.41,49.87,37.7,29.29,34.64,0,45.15,59.3,18.84,21.02,107.36,0,0,28.1,11.24,0,0,5.97,0,2.55
9230,13.19,0,10.48,11.73,0,0,14.14,0,1.01,6.98,0,0,0,5.77,1.78,0,0,0,1.09,0
14409,21.44,15.1,23.13,2.07,3.45,0,0.73,0,0,0,40.46,583.42,0,0,0,0,0,0,0,0
1922,41.43,139.07,99.13,55.46,65.71,0,76.45,24.96,14.51,5.8,15.45,0,280.58,0,0,48,0,0,0,3.4
11658,41.6,67.24,34.32,53.97,11.24,0,10.38,51.98,6.39,36.19,34.85,13.38,12.39,13.92,4.45,4,0,0.99,9.06,0.59
10896,39.74,97.62,27.27,36.01,41.9,0,17.26,28.18,13.26,48.69,25.96,273.43,40.58,22.15,24.17,65.5,20,1.27,8.33,0
2451,70.72,80.66,43.11,49.21,22.73,0,2.11,45.59,10.73,28.85,46.26,0,47.08,2.2,13.64,1,0,0,0,2.51
515,8.06,4.98,37.64,6.07,1.86,0,1.18,8,12.25,14.08,13.04,0,18.74,0,0.99,0,0,0,0,1.69
6239,14.23,32.94,68.49,24.06,34.01,0,8.7,8.96,33.77,46.71,46.51,154.02,120.41,0,8.42,0,10,7.09,0,0.67
13394,50.39,54.98,87.33,36.75,63.66,0,0,7.79,14.87,113.54,85.27,3.81,5.68,0,0,4,0,0,0,0
6618,62.32,51.83,29.32,21.83,47.19,0,3.52,22.07,3.51,34.84,47.16,42.88,53.25,6.16,0,9,40,3.4,0,0
15114,123.2,163.63,39.13,202.78,56.03,0,133.95,8.07,0,11.32,23.11,0,0,4.85,39.94,591,0,0,0,0
3028,47.58,76.22,66.59,28.64,40.3,0,21.95,26.76,27.83,65.16,29.94,0,0,17.55,14.83,0,15,2.51,0,0
1281,72.14,84.85,46.3,92.6,47.38,0,33.36,25.25,57.19,70.27,38.12,0,22.12,0,0,0,0,1.69,20.22,0
1413,156.96,132.31,199.82,118.89,74.89,0,4.6,67.92,88.29,43.49,81.3,0,0,0,0.24,4,0,0,0,3.35
9886,92.96,66.96,54.51,44.89,15.33,0,48.38,35.53,8.63,67.79,81.63,50.61,111.43,40.99,11.76,0,0,9.3,0,0
14027,114.34,80.98,14.01,11.82,48.68,0,0,110.48,25.98,11.89,60.83,62.3,45.93,0,4.27,0,0,116.68,0,0
1037,68.27,133.51,48.34,32.46,25.14,0,32.78,7.03,11,47.75,11.2,0,0,0,0.99,15,50,1.44,0,6.79
7814,78.59,29.12,20.61,54.32,37.73,0,13,13.07,2.35,6.03,59.39,0.64,45.76,29.26,1.64,0,0,1.69,0,0
10189,181.84,47.64,18.66,25,15.64,0,7.65,29.26,2.84,24.46,12.97,0,23.36,30.03,15.12,0,0,4.96,0,0
4934,26,34.33,32.75,13.54,25.11,0,12.56,19.35,3.55,11.72,12.64,512.67,0,4.86,0,6,0,0,2.22,3.4
3730,54.18,89.33,48.28,78.73,65.14,0,3.82,74.84,14.96,49.54,82.34,11.36,0,0.53,5.16,0,20,6.35,2.9,2.37
10761,199.11,88.51,85.35,95.89,104.01,0,95.32,44.03,7.53,139.7,10.72,0,92.03,58.98,29.12,1,25,17.01,0,17.17
510,37.96,84.07,26.32,42.7,34.4,0,8.55,22.68,10.88,18.97,18,0,43.15,3.79,30.55,0,0,0,0,1.06
15328,21.59,10.96,12.15,13.04,5.01,0,0.4,10.27,0,5.73,32.86,0,0,0.77,18.03,19,10,0,2.38,0
9311,22.17,60.27,32.56,106.24,81.5,0,0,0,81.19,31.09,78.47,7.42,181.93,0,0,0,0,0.84,0,0
15018,23.07,19.79,30.88,17.18,18.21,0,11.55,9.95,0,21.24,33.9,48.54,8.5,1.58,3.18,0,135.5,0,0,0
13301,56.26,107.64,33.94,70.83,79.37,0,0,37.91,10.19,7.75,48.34,0,17.68,13.11,3.42,0,0,0,0,0
4163,97.14,171.96,64.02,206.75,41.16,0,42.87,33.85,15.44,2.31,111,31.4,0,4.22,0,26,10,0,0,0
1030,18.12,8.4,41.15,11.17,26.2,0,5.75,11.98,21.27,22.21,6.98,0,0,0,5.23,2,0,0,0,0
12331,11.03,10.12,26.13,17.67,164.58,0,0,3.29,11.62,7.33,9.97,226.53,0,25.33,2.97,71.5,25,0.42,0,1.52
4351,71.02,56.94,72.88,16.34,19.95,0,0.76,4.54,112.91,30.41,7.07,69.64,0,0,0,3,0,0,0,0
9112,116.22,97.32,88.89,58.58,80.18,0,7.49,62.16,22.56,70.6,92.09,87.97,106.93,3.9,23.35,93,0,1.15,4.72,0
6153,23.41,102.8,206.91,62.61,151.83,0,16.39,8.59,25.63,129.6,35,36.03,43.35,0,6.93,0,95,13.91,0,3.4
11990,35.37,14.83,8.28,21.31,0,0,22.17,8.3,4.65,0,19.38,0,73.92,24.82,1.97,0,236,0,0,0
4290,112.07,72.07,185.07,56.6,119.56,0,61.96,102.7,5.68,34.59,32.91,23.93,0,39.88,45.67,0,0,9.03,9.9,0
13551,9.19,29.11,5.18,8.84,2.34,0,0,9.96,0,12.25,19.34,0,0,0,0,0,0,5.1,0,0
12476,1.44,18.48,25.35,130.46,106.5,0,0,0,1.77,1.49,20.56,164.95,0,3.99,14.24,1.5,10,55.67,20.29,3.4
71,195.01,58.85,222.11,176.19,129.99,0,14.07,0.49,51.15,30.32,141.86,0,100.21,6.82,6.64,0,0,2.51,4.44,2.79
896,70.92,29.99,19.69,19.57,39.21,0,5.11,20.4,3.57,9.99,12.6,0,100.96,0.89,6.93,48,0,3.72,0,0
9501,129.27,156.93,77.85,81.92,80.59,0,21.06,62.22,21.04,55.73,9.45,288.26,11.9,4.94,15.62,7,150,39.42,0,1.69
14260,32.27,31.12,30.41,99.69,49.49,0,0,22.94,0,60.79,23.04,0,0,0,3.57,0,0,0,0,0
13757,17.13,72.72,82.03,87.2,86.29,0,0,60.57,59.13,67.62,127.68,0,11.41,69.08,0,0,0,1.26,0,0
15135,194.88,76.68,80.16,105.9,26.48,0,17.9,5.1,0,14.39,160.59,0.96,671.13,9.41,23.07,0,0,3.79,0,2.12
2692,101.61,200.67,84.44,103.67,225.69,0,62.05,176.6,17.37,60.54,121.06,"1,035.38",12.75,50.01,11.93,14,60,12.42,0,0
10261,110.24,69.53,52.25,49.17,122.88,0,11.45,11.69,61.79,34.21,147.13,356.05,103.77,15.33,21.9,67,10,18.53,0,0
8245,20.73,28.22,44.24,40.03,112.85,0,2.48,16.06,7.27,39.57,5.99,5.8,3.5,10.43,8.26,0,0,1.99,0,5.95
7175,88.55,48.53,46.24,64.58,75.13,0,2.1,11.55,19.29,8.48,79.94,13.27,115.83,9.04,5.62,0,0,14.14,0,0
5556,8.03,62.81,24.45,44.35,15.26,0,0.35,24.1,9.71,55.71,15.37,13.95,7.64,0,3.71,0,20,0,0,0
3870,2.42,12.77,18.03,10.62,52.98,0,4.82,2.92,20.87,2.3,7.67,21.3,0,3.6,2.63,6,30,0,0,0
5498,145.8,70.29,109.41,149.47,208.66,0,1.4,22.72,49.49,25.78,35.82,656.68,2.2,0,56.43,0,0,6.23,0,0
14825,9.01,28.02,2.38,6.05,10.37,0,19.12,2.09,0,14.32,5.79,607.61,0,0,2.57,30.5,60,1.35,0,0
8803,12.57,0,5.92,1.89,0,0,0,6.44,0,10.47,20.09,0,0,0,1.83,0,0,0,0,0
935,21.4,73.36,23.51,100.64,77.05,0,8.09,31.56,6.3,4.07,18.34,0,113.66,65.73,2.84,0,0,0,6.38,0
8639,42.64,37.4,23.75,24.86,20.8,0,39.35,14.38,3.34,6.62,45.93,0,56.17,1.05,3.21,0,0,5.67,0,0
11339,192.19,308.19,101.31,197.66,106.25,0,27.55,0.59,15.72,50.38,29.15,66.68,22.14,48.67,5.3,4,0,5.97,0,1.69
12450,28.19,43.75,15.02,38.91,34.9,0,0,29.82,33.92,37.56,77.66,0,69.75,6,1.45,0,115,0,0,2.55
61,70.18,55.29,46.39,56.18,45.71,0,5.55,12.12,14.87,18.63,121.38,0,20.65,19.88,16.38,6,0,3.04,0,2.87
8022,13.22,44.58,26.68,36.82,64.46,0,0.55,9.82,8.13,23.89,22.7,0,9.77,30.68,4.85,0,40.5,5.02,0,0
4513,29.27,86.56,84.73,22.7,94.07,0,115.93,73.65,53.95,29.54,28.63,828.6,488.78,12.73,2.47,348,5,9.33,0,1.17
3839,42.36,127.97,113.08,29.89,10.85,0,59.3,50.66,40.65,58.97,17.19,217.61,0,49.93,2.75,71.4,10,10.21,0,0
11613,74.91,196.65,227.59,95.69,113.99,0,23.43,63.81,100.67,67.21,98.49,82.78,367.41,70.33,25.81,11,115,52.92,0,2.55
9757,280.71,224.19,298.75,210.57,195.75,0,37.85,190.69,71.55,268.39,169.69,0,7.43,27.86,102.2,73,96,0,0,1.68
3978,92.7,92.37,41.54,99.4,129.31,0,1.13,37.96,24.8,91.87,185.37,11.5,0,4.97,24.86,0,45,7.71,0,3.81
12008,152.1,30.78,36.43,138.18,31.77,0,0,93.06,19.49,68.03,183.5,0,2.55,0,12.02,2,0,0,0,0.84
13277,101.67,37.15,5.77,76.41,36.96,0,0,0,0,39.38,125.45,249.78,77.96,0,0.56,0,0,1.35,0,9.58
15394,18.26,22.45,2.95,3.73,3.78,0,4.44,2.34,0,5.88,12.98,0,0,11.8,1.58,0,0,3.4,0,0
2684,36.98,16.89,3,5.76,11.56,0,76.26,20.21,1.68,16.02,46.23,0,808.12,33.22,0,0,0,0,0,5.08
10481,89.24,47.05,59.58,14.31,76.31,0,23.85,43.37,14.15,37.28,58.97,252.47,185.97,35.51,27.93,32,228,1.1,0,0
2388,46.99,131.87,81.43,141.25,47.3,0,0.65,17.73,35.74,11.97,17.66,0,0,0,2.19,0,0,7.69,0,0
10283,28.73,28.76,56.04,36.93,71.61,0,12.18,45.26,71.7,22.3,74.24,99.46,102.07,7.37,15.56,36.5,70,43.24,0,4.65
12978,67.23,32.89,54.73,15.31,42.18,0,0,29.29,16.39,18.94,4.08,474.67,96.73,0,2.77,0,0,19.58,0,0
15960,6.19,12.2,6.55,10.47,12.72,0,9.1,1,8.11,7.19,0,169.24,158.09,0,0,0,0,0,0,0
2470,77.81,85.14,26.79,25.11,16.62,0,6.63,88.01,1.77,24.53,113.74,0,65.08,0,4.04,16,5.88,0,0,0
8912,160.56,155.56,304.11,281.41,446.27,0,43.5,184.15,242.56,244.78,713.28,94.98,570.72,17.53,30.81,10,0,26.88,0,17.88
3139,284.81,42.34,68.85,113.69,183.35,0,7.47,126.47,36.87,45.44,113.91,0,244.76,0,2.78,0,0,16.88,0,24.57
1969,36.41,46.33,24.68,36.38,50.17,0,2.1,56.13,6.4,3.95,111.96,0,18.77,18.52,2.74,7,0,0,0,0
4586,37.47,44.02,53.49,32.54,58.73,0,27.53,23.06,11.41,25.43,51.13,25.36,195.11,8.54,11.27,16,270,14.9,0,4.07
9735,76.67,182.15,35.7,80.34,12.68,0,0.84,23.29,49.43,34.52,42.95,13.27,13.24,23.44,9.97,2,25,0,54.89,0
13118,113.42,150.02,72.93,150.22,104.06,0,0,27.7,8.55,31.54,72.36,28.32,23.17,10.75,4.66,33,0,5.23,3.47,0
14539,7.15,28.06,29.79,146.82,3.27,0,0.78,0,0,113.55,0,"1,272.29",0,11.95,0,0,135.5,0,0,0
7460,17.59,56.87,60.39,74.87,196.69,0,2.28,212.82,42.2,65.69,13.46,27.99,6.37,39.34,10.5,0,10,8.51,0,0.84
4084,26.87,28.62,36.14,51.07,15.88,0,22.8,12.53,10.76,11.24,13.93,4.17,0,1.9,15.81,22,0,1.27,0,0
3579,80.64,122.34,56.1,23.24,14.2,0,11.84,108.53,102.4,78.18,106.17,0,11.05,6.55,25.56,0,0,0,0,0
7991,30.77,14.6,74.81,34.95,49.96,0,7.29,28.31,8.83,2.72,13.97,0,10.2,12.05,7.32,0,0,0,0,2.12
11140,187.36,98.4,18.19,19.24,43.05,0,56.1,9.61,1.22,20.64,84.08,224.2,8.66,1.34,3.93,38.5,55,1.83,0,1.69
5943,58.16,11.1,34.48,27.25,4.04,0,7.7,29.82,15.35,9.47,4.27,86.26,68.93,0,2.57,1,0,0,0,0
3702,161.91,31.39,157.9,172.12,386.9,0,19.2,7.85,61.99,67.62,45.45,15.32,0,0,0.98,0,0,18.35,24.19,6.74
6945,7.4,69.6,2.34,126.17,9.3,0,5.7,9.97,5.05,15.74,13.5,49.29,364.89,1.38,0,3,0,0,0,0
8380,117.4,43.58,24.31,54.96,41.86,0,3.6,123.03,18.03,63.85,138.8,0,275.27,10.69,4.04,0,0,0,0,0
4207,61.04,75.26,65.41,99.01,31.11,0,2.81,78.84,9.2,24.98,50.66,88.72,0,0.79,46.87,0,10,0,0,0
2649,49.93,60.35,25.86,39.15,19.39,0,12.07,14.91,27.05,14.78,24.57,0,0,0,39.21,79,135,0,0,0
9342,150.08,231.7,113.12,117.24,208.86,0,143.05,72.84,128.59,116.46,228.45,2.18,10.21,36.36,22.89,7,0,9.07,45.23,3.4
5625,66.26,108.43,88.56,116.37,54.57,0,18.36,157.66,30,45.69,19.48,10.07,22.1,0,11.74,26,73,9.63,0,0
5501,87.35,82.78,100.64,29.74,47.23,0,88.6,54.79,6.14,52.78,14.71,64.52,684.49,0,1.48,1,0,0,0,2.12
2604,51.6,37.5,63.2,28.95,75.71,0,6.15,18.75,16.56,14.82,19,0,7.48,3.5,6.11,0,0,0,21.02,2.97
11191,98.92,93.83,138.6,100.25,132.74,0,23.5,54.41,71.56,15.55,26.24,19.91,117.16,3.24,1.88,0,20,8.46,0,2.28
15963,17.21,48.44,8.26,2.31,3.57,0,1.2,2.29,0.66,0.72,0,666.86,0,0,0,4,100,0,0,0
3830,39.68,56.39,63.19,56.18,58.25,0,133.17,23.95,16.37,35.18,41.42,465.96,0,11.36,2.38,298,30,0,0,3.4
9125,74.36,149.95,8.8,34.94,5.75,0,1.25,28.14,0.66,4.5,46.96,0,112.48,3.75,19.89,550,0,0,0,0
