customer_number,baskets,total_quantity,average_quantity,total_spend,average_spend
7053,232,290,1.25,485.1,2.09
3690,420,484,1.152380952,516.62,1.23
5198,306,360,1.176470588,704.13,2.3
8688,556,701,1.260791367,"1,106.13",1.99
12153,121,131,1.082644628,126.42,1.04
244,765,1045,1.366013072,"1,338.67",1.75
231,856,1059,1.237149533,961.42,1.12
230,98,115,1.173469388,148.25,1.51
232,744,992,1.333333333,"1,045.33",1.41
8693,927,1382,1.490830636,"1,445.71",1.56
12156,405,417,1.02962963,750.29,1.85
12158,126,144,1.142857143,422.06,3.35
236,397,492,1.23929471,650.07,1.64
9643,45,45,1,333.64,7.41
7068,278,345,1.241007194,647.19,2.33
256,535,608,1.136448598,804.6,1.5
14326,579,699,1.207253886,637.94,1.1
7077,148,194,1.310810811,384.55,2.6
9516,456,505,1.10745614,437.71,0.96
3695,427,459,1.074941452,529.7,1.24
258,221,240,1.085972851,380.57,1.72
8685,327,390,1.19266055,665.37,2.03
3693,155,197,1.270967742,213.87,1.38
12159,131,151,1.152671756,419.68,3.2
257,508,621,1.222440945,634.38,1.25
263,1161,1315,1.132644272,"1,411.27",1.22
7063,242,270,1.115702479,329.4,1.36
5204,483,561,1.161490683,693.23,1.44
247,950,1018,1.071578947,"1,199.87",1.26
276,425,506,1.190588235,667.79,1.57
7067,882,1164,1.319727891,"2,001.06",2.27
3701,766,908,1.18537859,975.57,1.27
277,837,947,1.131421744,"1,014.82",1.21
269,500,597,1.194,690.51,1.38
8680,294,323,1.098639456,404.37,1.38
5215,342,530,1.549707602,"1,082.74",3.17
14825,253,338,1.335968379,825.22,3.26
14329,254,279,1.098425197,563.62,2.22
275,118,151,1.279661017,162.03,1.37
281,1121,1261,1.124888492,"1,282.69",1.14
280,201,215,1.069651741,344.85,1.72
3702,805,1089,1.352795031,"1,231.02",1.53
3711,556,652,1.172661871,859.19,1.55
283,731,828,1.132694938,"1,080.41",1.48
6465,328,505,1.539634146,"1,220.31",3.72
7061,191,208,1.089005236,208.38,1.09
14828,237,274,1.156118143,370.98,1.57
9819,660,982,1.487878788,"1,208.01",1.83
10840,534,668,1.25093633,755.64,1.42
7074,677,728,1.075332349,"1,077.22",1.59
7064,691,805,1.164978292,931.77,1.35
12171,410,554,1.351219512,684.87,1.67
12170,774,825,1.065891473,964.47,1.25
11208,941,1061,1.127523911,790.45,0.84
6470,480,534,1.1125,579.03,1.21
12182,400,438,1.095,406.72,1.02
9526,551,667,1.210526316,780.8,1.42
3715,936,1129,1.206196581,"1,558.89",1.67
7093,287,375,1.306620209,645.4,2.25
312,458,502,1.096069869,752.32,1.64
12183,469,618,1.317697228,713.9,1.52
308,296,356,1.202702703,533.12,1.8
309,298,330,1.10738255,377.71,1.27
3728,725,1010,1.393103448,"1,104.10",1.52
14335,553,847,1.53164557,758.66,1.37
7079,427,489,1.145199063,528.33,1.24
15513,237,256,1.080168776,440.78,1.86
7091,304,335,1.101973684,404.79,1.33
12189,1013,1222,1.206317868,"1,536.30",1.52
14834,257,307,1.194552529,371.17,1.44
6468,337,499,1.480712166,450.52,1.34
8701,148,174,1.175675676,256.46,1.73
12188,525,557,1.060952381,677.8,1.29
12195,140,179,1.278571429,650.72,4.65
320,341,419,1.228739003,415.49,1.22
12201,46,51,1.108695652,70.16,1.53
324,150,183,1.22,200.37,1.34
12198,49,59,1.204081633,68.6,1.4
7094,326,354,1.085889571,448.42,1.38
7083,438,585,1.335616438,"1,413.95",3.23
12202,158,186,1.17721519,422.38,2.67
6471,657,743,1.130898021,709.61,1.08
15920,523,589,1.126195029,615.36,1.18
3727,642,719,1.119937695,906.97,1.41
342,345,423,1.226086957,461.5,1.34
7104,651,777,1.193548387,896.16,1.38
11868,50,55,1.1,66.92,1.34
14837,319,377,1.181818182,697.34,2.19
5233,624,805,1.290064103,898.23,1.44
341,529,651,1.230623819,675.36,1.28
3733,616,667,1.082792208,"1,312.99",2.13
12212,397,449,1.130982368,474.61,1.2
328,325,350,1.076923077,542.51,1.67
5240,552,629,1.139492754,870.1,1.58
10981,548,714,1.302919708,923.25,1.68
3730,432,547,1.266203704,637.1,1.47
5234,216,227,1.050925926,275.76,1.28
12215,257,287,1.116731518,342.67,1.33
12218,675,817,1.21037037,768.51,1.14
352,357,435,1.218487395,505.68,1.42
9847,407,453,1.113022113,472.47,1.16
11323,962,1156,1.201663202,"1,301.16",1.35
350,435,464,1.066666667,546.06,1.26
11381,1705,2124,1.245747801,"2,602.11",1.53
349,571,676,1.183887916,649.97,1.14
12221,592,701,1.184121622,"1,196.73",2.02
367,834,912,1.09352518,951.8,1.14
359,475,535,1.126315789,780.02,1.64
3741,169,207,1.224852071,268.74,1.59
362,666,825,1.238738739,591.95,0.89
368,548,604,1.102189781,736.22,1.34
372,491,527,1.073319756,757.52,1.54
5242,457,579,1.266958425,653.86,1.43
11069,390,470,1.205128205,903.99,2.32
7110,444,523,1.177927928,660.92,1.49
14839,148,186,1.256756757,228.63,1.54
12227,519,591,1.138728324,724.39,1.4
3740,400,498,1.245,522.89,1.31
356,237,273,1.151898734,236.48,1
357,1582,1968,1.243994943,"1,996.51",1.26
5256,1051,1252,1.191246432,"2,900.34",2.76
9521,985,1011,1.026395939,928.79,0.94
5246,486,492,1.012345679,743.88,1.53
386,706,722,1.02266289,630.23,0.89
385,754,845,1.120689655,894.2,1.19
14343,113,138,1.221238938,180.36,1.6
12234,69,100,1.449275362,90.61,1.31
12230,922,1066,1.156182213,"1,636.50",1.77
9868,569,826,1.451669596,897.66,1.58
12237,336,353,1.050595238,346.04,1.03
12245,135,157,1.162962963,207.67,1.54
6483,330,402,1.218181818,"1,259.71",3.82
7130,519,609,1.173410405,784.76,1.51
9853,496,580,1.169354839,478.47,0.96
3745,370,445,1.202702703,560.97,1.52
398,144,170,1.180555556,499.53,3.47
7131,521,584,1.120921305,633.75,1.22
401,208,270,1.298076923,342.93,1.65
395,312,345,1.105769231,435.98,1.4
7126,261,297,1.137931034,358.97,1.38
7124,375,402,1.072,529.04,1.41
14846,421,475,1.128266033,"1,341.17",3.19
9855,500,586,1.172,627.38,1.25
7127,337,376,1.115727003,656.33,1.95
409,325,357,1.098461538,514,1.58
404,869,1089,1.253164557,"1,403.38",1.61
9856,448,558,1.245535714,480.03,1.07
5261,128,157,1.2265625,253.25,1.98
8720,216,278,1.287037037,443.5,2.05
8717,1234,1464,1.186385737,"1,776.72",1.44
9527,343,423,1.233236152,697.08,2.03
5264,162,180,1.111111111,447.37,2.76
3759,154,202,1.311688312,338.2,2.2
3756,998,1051,1.053106212,841.45,0.84
9836,133,153,1.15037594,160.05,1.2
419,479,527,1.100208768,713.32,1.49
3763,474,724,1.52742616,"1,318.69",2.78
12264,238,386,1.621848739,410.87,1.73
7138,466,533,1.143776824,705.07,1.51
412,201,285,1.417910448,346.35,1.72
7135,203,232,1.142857143,314.91,1.55
7132,26,35,1.346153846,71.43,2.75
14351,129,217,1.682170543,530.47,4.11
426,520,639,1.228846154,741.36,1.43
12266,105,126,1.2,157.94,1.5
427,355,400,1.126760563,932.52,2.63
3760,54,70,1.296296296,65.31,1.21
9863,273,373,1.366300366,367.1,1.34
14848,392,417,1.06377551,646.88,1.65
12269,684,758,1.108187135,896.7,1.31
7141,371,449,1.210242588,501.63,1.35
14353,754,834,1.106100796,651.69,0.86
3781,447,504,1.127516779,456.02,1.02
12271,690,854,1.237681159,"1,095.57",1.59
5268,112,171,1.526785714,339.65,3.03
12276,829,1169,1.41013269,"1,775.63",2.14
433,415,481,1.159036145,608.27,1.47
434,179,195,1.089385475,164.3,0.92
12277,410,466,1.136585366,627.75,1.53
9879,714,899,1.259103641,"1,505.99",2.11
3780,331,512,1.546827795,753.11,2.28
10928,267,308,1.153558052,347.77,1.3
11473,233,284,1.21888412,376.2,1.61
8719,1115,1291,1.157847534,"1,177.63",1.06
447,173,214,1.23699422,277.6,1.6
10967,928,1049,1.130387931,"1,404.14",1.51
7148,610,704,1.154098361,767.9,1.26
7145,301,335,1.112956811,339.21,1.13
445,587,783,1.333901193,"1,700.09",2.9
11633,346,418,1.208092486,592.76,1.71
10901,204,226,1.107843137,209.74,1.03
459,268,301,1.123134328,357.73,1.33
9886,668,742,1.110778443,793.39,1.19
12286,157,171,1.089171975,414.43,2.64
9948,508,527,1.037401575,597.99,1.18
11002,267,296,1.108614232,413.34,1.55
7146,326,372,1.141104294,479.83,1.47
7150,248,281,1.133064516,265.39,1.07
474,236,328,1.389830508,403.05,1.71
15527,321,357,1.112149533,561.05,1.75
475,630,771,1.223809524,791.57,1.26
7158,547,702,1.283363803,871.57,1.59
8733,840,946,1.126190476,"1,034.17",1.23
3789,723,781,1.0802213,706.33,0.98
7161,176,217,1.232954545,252.06,1.43
15933,905,930,1.027624309,590.1,0.65
15932,282,379,1.343971631,445.09,1.58
5275,221,254,1.149321267,402.92,1.82
9902,644,783,1.215838509,781.74,1.21
9903,648,797,1.229938272,"1,025.47",1.58
9904,691,778,1.125904486,767.41,1.11
11657,739,894,1.209742896,755.43,1.02
14361,508,606,1.192913386,700.84,1.38
496,389,429,1.102827763,468.8,1.21
3798,582,691,1.187285223,580.71,1
498,603,745,1.235489221,944.52,1.57
15934,664,723,1.088855422,"2,649.05",3.99
11520,385,494,1.283116883,752.37,1.95
7175,413,491,1.188861985,632,1.53
11878,96,129,1.34375,347.77,3.62
7172,226,266,1.17699115,225.77,1
12310,380,459,1.207894737,515.2,1.36
5284,803,964,1.200498132,"1,489.72",1.86
8735,481,597,1.241164241,628.21,1.31
515,70,94,1.342857143,131.43,1.88
5296,220,253,1.15,641,2.91
507,196,232,1.183673469,261.71,1.34
510,380,472,1.242105263,432.24,1.14
5290,532,671,1.261278195,697.3,1.31
9918,656,752,1.146341463,"1,555.32",2.37
11808,98,158,1.612244898,94.19,0.96
8738,653,847,1.297090352,"1,743.63",2.67
14866,303,337,1.112211221,463.64,1.53
521,435,505,1.16091954,534.81,1.23
523,252,296,1.174603175,377.89,1.5
8746,232,296,1.275862069,465.25,2.01
535,826,948,1.147699758,929.65,1.13
6497,2053,2825,1.376035071,"2,195.36",1.07
14871,70,77,1.1,111.76,1.6
538,368,478,1.298913043,451.55,1.23
14872,141,193,1.368794326,245.51,1.74
3817,730,866,1.18630137,"1,435.13",1.97
3818,294,379,1.289115646,310.46,1.06
8754,255,299,1.17254902,319.39,1.25
14870,363,392,1.079889807,477.8,1.32
12323,385,413,1.072727273,666.31,1.73
15939,361,410,1.135734072,453.3,1.26
540,723,744,1.029045643,456.41,0.63
8756,393,440,1.119592875,587.5,1.49
12331,240,329,1.370833333,618.93,2.58
541,123,152,1.235772358,161.56,1.31
12329,587,698,1.189097104,"1,035.00",1.76
542,271,294,1.084870849,457.94,1.69
7191,743,913,1.228802153,"1,391.98",1.87
550,222,324,1.459459459,393.49,1.77
3819,357,465,1.302521008,706.94,1.98
7199,831,907,1.091456077,"1,332.88",1.6
15942,199,285,1.432160804,512.56,2.58
12338,351,448,1.276353276,534.17,1.52
3820,284,329,1.158450704,561.36,1.98
12344,413,617,1.493946731,725.77,1.76
12339,320,407,1.271875,445.25,1.39
571,250,282,1.128,321.23,1.28
12345,97,112,1.154639175,115.1,1.19
8759,418,464,1.110047847,804.2,1.92
12346,463,632,1.365010799,997.04,2.15
559,434,584,1.34562212,676.3,1.56
562,481,507,1.054054054,523.35,1.09
5310,253,369,1.458498024,574.65,2.27
579,385,589,1.52987013,999.35,2.6
6506,398,426,1.070351759,705.97,1.77
14375,113,128,1.132743363,145,1.28
584,625,690,1.104,869.18,1.39
9927,871,979,1.123995408,"1,269.06",1.46
11347,337,412,1.222551929,540.97,1.61
588,578,688,1.190311419,906.05,1.57
589,868,1274,1.467741935,"1,731.58",1.99
7210,1522,1957,1.285808147,"2,143.50",1.41
12356,45,65,1.444444444,87,1.93
15943,527,568,1.077798861,627.75,1.19
9941,563,745,1.323268206,"1,430.57",2.54
12357,1167,1525,1.306769494,"1,583.09",1.36
7219,906,1068,1.178807947,"1,019.98",1.13
5320,381,430,1.128608924,"1,518.49",3.99
3830,941,1036,1.100956429,"1,505.89",1.6
12361,238,261,1.096638655,339.21,1.43
15945,447,531,1.187919463,586.29,1.31
5321,470,520,1.106382979,891.5,1.9
12360,319,417,1.307210031,429.56,1.35
594,950,1168,1.229473684,"1,258.26",1.32
8778,786,924,1.175572519,"1,020.85",1.3
14377,320,345,1.078125,320.44,1
12363,185,201,1.086486486,269,1.45
3839,735,791,1.076190476,955.5,1.3
11104,622,825,1.326366559,"1,423.26",2.29
3844,415,569,1.371084337,693.94,1.67
611,504,548,1.087301587,559.13,1.11
11346,2529,2873,1.136022143,"3,200.49",1.27
616,484,559,1.154958678,660.92,1.37
12372,585,664,1.135042735,696.42,1.19
5319,395,478,1.210126582,725.89,1.84
15541,185,248,1.340540541,501.51,2.71
14881,289,319,1.103806228,320.11,1.11
618,465,559,1.202150538,755.35,1.62
14880,529,654,1.236294896,691.53,1.31
12379,407,539,1.324324324,609.36,1.5
3838,255,302,1.184313725,467.16,1.83
5328,750,873,1.164,"1,580.06",2.11
5332,391,463,1.184143223,955.93,2.44
14381,736,839,1.139945652,622.77,0.85
620,281,309,1.099644128,540.35,1.92
14885,40,52,1.3,93.1,2.33
12394,228,265,1.162280702,338.46,1.48
3843,461,530,1.14967462,708.8,1.54
12393,671,806,1.20119225,959.59,1.43
3848,639,696,1.089201878,"1,510.16",2.36
12391,254,302,1.188976378,504.16,1.98
5330,83,87,1.048192771,140.94,1.7
11885,448,485,1.082589286,883.65,1.97
11057,177,267,1.508474576,608.72,3.44
11433,762,849,1.114173228,"1,621.31",2.13
9953,716,1006,1.405027933,"1,009.88",1.41
12401,438,526,1.200913242,558.16,1.27
5331,754,971,1.287798408,"1,104.01",1.46
3845,286,393,1.374125874,304,1.06
12398,263,424,1.6121673,455.7,1.73
15544,674,766,1.136498516,666.1,0.99
635,502,601,1.197211155,704.25,1.4
11322,1251,1351,1.079936051,"1,978.46",1.58
9946,699,823,1.17739628,"1,236.09",1.77
6521,1668,2061,1.235611511,"2,703.97",1.62
647,279,311,1.114695341,422.95,1.52
646,184,217,1.179347826,263.53,1.43
11886,163,171,1.049079755,448.15,2.75
649,123,133,1.081300813,183.16,1.49
12409,214,262,1.224299065,258.24,1.21
5339,90,103,1.144444444,261.01,2.9
5340,638,731,1.145768025,665.71,1.04
8784,267,307,1.149812734,374.54,1.4
14887,209,245,1.172248804,372.57,1.78
5351,223,264,1.183856502,291.1,1.31
9556,602,695,1.15448505,"1,363.15",2.26
12412,344,432,1.255813953,495.06,1.44
9968,835,986,1.180838323,"2,468.46",2.96
3855,325,427,1.313846154,379.85,1.17
652,342,406,1.187134503,370.01,1.08
14891,606,623,1.028052805,588.57,0.97
662,678,850,1.253687316,931.18,1.37
14389,166,220,1.325301205,421.18,2.54
6523,146,158,1.082191781,573.18,3.93
655,658,713,1.083586626,857.38,1.3
657,487,540,1.108829569,897.3,1.84
14893,1569,1593,1.015296367,"1,426.47",0.91
667,377,418,1.108753316,829.83,2.2
12419,300,389,1.296666667,376.53,1.26
5345,352,396,1.125,455.94,1.3
3865,930,1003,1.078494624,923.37,0.99
12422,255,285,1.117647059,557.3,2.19
9949,538,857,1.592936803,"1,005.85",1.87
674,240,304,1.266666667,352.74,1.47
9966,240,260,1.083333333,770.67,3.21
5358,345,415,1.202898551,445.76,1.29
5356,278,331,1.190647482,479.74,1.73
12432,434,497,1.14516129,"1,000.86",2.31
3870,135,155,1.148148148,207.25,1.54
687,255,271,1.062745098,342,1.34
12437,318,388,1.220125786,523.1,1.64
12434,584,647,1.107876712,731.09,1.25
5360,646,752,1.164086687,"1,133.99",1.76
7257,223,281,1.260089686,358.53,1.61
697,691,750,1.085383502,875.45,1.27
704,899,1002,1.114571746,"1,203.00",1.34
711,901,1235,1.370699223,"1,335.38",1.48
717,266,283,1.063909774,329.87,1.24
8796,242,339,1.400826446,587.85,2.43
12440,292,323,1.106164384,359.26,1.23
7251,534,598,1.119850187,552.33,1.03
712,133,149,1.120300752,196.23,1.48
8789,853,989,1.15943728,"1,191.74",1.4
11140,709,742,1.046544429,914.08,1.29
14398,208,241,1.158653846,234.89,1.13
7263,287,301,1.048780488,378.96,1.32
12443,255,300,1.176470588,401.4,1.57
9974,456,528,1.157894737,"1,041.27",2.28
9975,1110,1380,1.243243243,"1,474.29",1.33
11889,370,433,1.17027027,420.25,1.14
7250,772,894,1.158031088,862.86,1.12
9977,440,541,1.229545455,966.41,2.2
3877,228,269,1.179824561,328.9,1.44
724,515,618,1.2,588.34,1.14
11607,531,726,1.367231638,895.64,1.69
7276,637,751,1.178963893,998.96,1.57
725,245,302,1.232653061,834.38,3.41
3881,352,415,1.178977273,466.07,1.32
12450,347,389,1.121037464,573.15,1.65
15554,196,302,1.540816327,749.58,3.82
5363,496,513,1.034274194,"1,223.10",2.47
732,370,398,1.075675676,461.64,1.25
5364,576,728,1.263888889,916.41,1.59
9985,423,484,1.144208038,647.15,1.53
734,451,556,1.232815965,772.77,1.71
5365,412,464,1.126213592,802.48,1.95
12452,560,615,1.098214286,759.27,1.36
12453,142,185,1.302816901,329.53,2.32
735,474,535,1.128691983,540.71,1.14
7269,487,598,1.227926078,593.55,1.22
737,720,857,1.190277778,"1,128.48",1.57
752,773,915,1.183699871,680.61,0.88
746,415,508,1.224096386,523.14,1.26
15960,167,173,1.035928144,408.31,2.44
15556,425,547,1.287058824,615.99,1.45
11615,271,338,1.247232472,470.13,1.73
6536,718,927,1.291086351,890.69,1.24
6541,628,714,1.136942675,"1,083.71",1.73
9983,144,163,1.131944444,194.73,1.35
6537,259,312,1.204633205,648.05,2.5
3887,777,945,1.216216216,802.09,1.03
7289,978,1106,1.130879346,"1,150.69",1.18
12473,260,313,1.203846154,418.61,1.61
15963,208,305,1.466346154,859.01,4.13
12467,52,54,1.038461538,80.58,1.55
759,138,161,1.166666667,214.95,1.56
7280,657,716,1.089802131,720.28,1.1
8799,1014,1461,1.440828402,"1,319.83",1.3
14907,299,313,1.046822742,407.03,1.36
755,51,55,1.078431373,73.75,1.45
12474,146,192,1.315068493,241.89,1.66
11408,377,452,1.198938992,569.09,1.51
8814,944,1299,1.376059322,"2,769.62",2.93
777,65,75,1.153846154,105.36,1.62
3892,928,1020,1.099137931,"1,161.85",1.25
3902,313,364,1.162939297,457.41,1.46
5373,157,190,1.210191083,196.83,1.25
6538,277,315,1.137184116,936.54,3.38
770,348,411,1.181034483,397.04,1.14
12476,297,525,1.767676768,616.57,2.08
15966,507,514,1.013806706,450.86,0.89
3893,509,606,1.190569745,744.33,1.46
14407,142,159,1.11971831,199.02,1.4
11895,168,181,1.077380952,186.22,1.11
11204,528,701,1.327651515,"1,081.48",2.05
5378,1569,1973,1.257488846,"1,948.03",1.24
11894,23,31,1.347826087,90.46,3.93
788,191,221,1.157068063,249.55,1.31
7307,1143,1159,1.01399825,"1,027.92",0.9
14909,57,64,1.122807018,92.16,1.62
